city_ID,city,lat,lng,country,airport_name,airport_address,airport_rating
1241,Umeå,63.8285,20.2706,Sweden,Umeå Airport,"Flygplatsvägen 32, Umeå",3.9
1242,Jönköping,57.7833,14.1667,Sweden,Jönköping Airport,Jönköping,4.5
1243,Norrköping,58.5919,16.1856,Sweden,Linköping City Airport,"Åkerbogatan 20, Linköping",4.3
1244,Gävle,60.6748,17.1444,Sweden,Gävle-Sandviken Airport,"Flygfältsvägen 49, Valbo",4.8
1245,Karlstad,59.3808,13.5016,Sweden,Karlstad Airport,"Våldalen 570, Karlstad",3.7
1246,Sundsvall,62.3902,17.3067,Sweden,Sundsvall-Timrå Airport,"Unnamed Road, Sörberge",3.9
1247,Borås,57.7304,12.92,Sweden,Gothenburg-Landvetter Airport,Landvetter,4.2
1248,Växjö,56.8837,14.8167,Sweden,Smaland Airport,"Flygplatsvägen 2, Växjö",3.9
1249,Halmstad,56.6754,12.8587,Sweden,Varberg Airport,Varberg,4.0
1250,Luleå,65.5838,22.1915,Sweden,Luleå Airport,"Flygstationsvägen 4, Luleå",4.2
1251,Östersund,63.1775,14.6414,Sweden,Åre Östersund Airport,Frösön,4.2
1252,Trollhättan,58.2671,12.3,Sweden,Trollhättan–Vänersborg Airport,Västra Tunhem,4.4
1253,Kalmar,56.6694,16.3218,Sweden,Kalmar Öland Airport,"Flygplatsvägen 32, Kalmar",3.9
1254,Skövde,58.3995,13.8538,Sweden,Skovde Airport,"Flygplatsvägen 8, Skövde",4.2
1255,Borlänge,60.4833,15.4167,Sweden,Ludvika Airport,"Flygfältsvägen 31, Ludvika",4.3
1256,Mölndal,57.6542,12.0139,Sweden,Gothenburg-Landvetter Airport,Landvetter,4.2
1257,Falun,60.613,15.647,Sweden,Dala Airport,"Överstevägen 50, Borlänge",4.4
1258,Karlskrona,56.1611,15.5881,Sweden,Ronneby Airport,"Bredåkravägen 26, Kallinge",4.0
1259,Nyköping,58.7582,17.0185,Sweden,Norrköping Airport AB,Norrköping,4.2
1260,Kristianstad,56.0337,14.1333,Sweden,Kristianstad Airport AB,"Degebergavägen 327, Everöd",3.8
1261,Skellefteå,64.65,20.85,Sweden,Skellefteå Airport,"SKELLEFTEÅ FLYGPLATS 1, Skellefteå",4.1
1262,Örnsköldsvik,63.294,18.7122,Sweden,Örnsköldsvik Airport,"Västanå 100, Husum",4.3
1263,Kiruna,67.8494,20.2544,Sweden,Kiruna Airport,"Flygfältsvägen, Kiruna",4.1
1264,Visby,57.629,18.3071,Sweden,Visby Airport,Visby,4.1
1265,Huskvarna,57.7919,14.2756,Sweden,Jönköping Airport,Jönköping,4.5
1266,Vänersborg,58.363,12.33,Sweden,Trollhättan–Vänersborg Airport,Västra Tunhem,4.4
1267,Härnösand,62.6323,17.9379,Sweden,Sundsvall-Timrå Airport,"Unnamed Road, Sörberge",3.9
1268,Höganäs,56.196000000000005,12.5769,Sweden,Ängelholm–Helsingborg Airport,"Margretetorpsvägen 445, Ängelholm",3.9
1269,Kinna,57.4954,12.6805,Sweden,Gothenburg-Landvetter Airport,Landvetter,4.2
1270,Mariestad,58.705,13.828,Sweden,Skovde Airport,"Flygplatsvägen 8, Skövde",4.2
1271,Mjölby,58.3321,15.1312,Sweden,Linköping City Airport,"Åkerbogatan 20, Linköping",4.3
1272,Bollnäs,61.3484,16.3883,Sweden,Helsinge Airport,,
1273,Mora,61.0096,14.5635,Sweden,Mora–Siljan Airport,"Flygplatsvägen 2, Mora",3.7
1274,Ulricehamn,57.7917,13.4186,Sweden,Borås Airport,"Vindgatan 9, Borås",4.8
1275,Tibro,58.419,14.158,Sweden,Skovde Airport,"Flygplatsvägen 8, Skövde",4.2
1276,Habo,57.9066,14.0856,Sweden,Jönköping Airport,Jönköping,4.5
1277,Tidaholm,58.1794,13.9599,Sweden,Skovde Airport,"Flygplatsvägen 8, Skövde",4.2
1278,Strömstad,58.9441,11.1864,Sweden,Strömstad-Näsinge flygplats,"Flygplats 1, Strömstad",4.5
1279,Haparanda,65.8342,24.116999999999997,Sweden,,,
1280,Hjo,58.3044,14.2786,Sweden,Skovde Airport,"Flygplatsvägen 8, Skövde",4.2
1281,Kungsör,59.4227,16.1059,Sweden,Eskilstuna flygplats,"Ö, Eskilstuna",4.8
1282,Zürich,47.3744,8.5411,Switzerland,Zurich Airport,Kloten,4.4
1283,Geneva,46.2,6.15,Switzerland,Geneva Airport,"Rte de l'Aéroport 21, Le Grand-Saconnex",3.7
1284,Basel,47.5606,7.5906,Switzerland,EuroAirport Basel-Mulhouse-Freiburg,Saint-Louis,3.8
